,run_id,name,distance,moving_time,elapsed_time,type,start_date,start_date_local,location_country,average_heartrate,average_speed
70,9223370338752745308,run from keep,8239.45028137602,00:51:22,00:51:23,Run,2023-10-23 22:09:07,2023-10-24 06:09:07,"{'latitude': 30.319311312346514, 'longitude': 120.23949916961192, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",177.0,6''14
69,9223370338700202412,run from keep,5867.794700376251,00:39:18,00:39:19,Run,2023-10-24 12:56:54,2023-10-24 20:56:54,"{'latitude': 30.318451590183184, 'longitude': 120.23926107154452, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",140.0,6''41
68,9223370338666272437,run from keep,8285.22725439222,00:52:06,00:52:07,Run,2023-10-24 22:09:36,2023-10-25 06:09:36,"{'latitude': 30.319258323389995, 'longitude': 120.23941371025506, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",179.0,6''17
67,9223370338580067604,run from keep,8176.870045245274,00:47:03,00:47:04,Run,2023-10-25 22:11:24,2023-10-26 06:11:24,"{'latitude': 30.31935509282362, 'longitude': 120.23945997782485, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",177.0,5''45
66,9223370338493432036,run from keep,10243.29313485459,00:57:02,00:57:19,Run,2023-10-26 22:05:04,2023-10-27 06:05:04,"{'latitude': 30.31929660472783, 'longitude': 120.23940990859062, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",164.0,5''34
65,9223370338443796022,run from keep,167.82283320091665,00:02:28,00:02:29,Run,2023-10-27 12:47:10,2023-10-27 20:47:10,"{'latitude': 30.32094340500362, 'longitude': 120.23683286973083, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",85.0,14''41
64,9223370338406592399,run from keep,10657.22417913716,01:01:20,01:01:21,Run,2023-10-27 22:08:22,2023-10-28 06:08:22,"{'latitude': 30.319304516628293, 'longitude': 120.23934098575295, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",179.0,5''45
63,9223370338356454373,run from keep,6547.700841793087,00:39:17,00:39:18,Run,2023-10-28 12:26:03,2023-10-28 20:26:03,"{'latitude': 30.31844210661795, 'longitude': 120.23926829088562, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",152.0,5''59
62,9223370338307548000,run from keep,560.8782203832543,00:08:46,00:08:47,Run,2023-10-29 02:31:40,2023-10-29 10:31:40,"{'latitude': 30.255729381910406, 'longitude': 120.17908890652667, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",80.0,15''37
61,9223370338274069780,run from keep,12081.50742000054,01:15:40,01:15:42,Run,2023-10-29 10:42:44,2023-10-29 18:42:44,"{'latitude': 30.319509581897652, 'longitude': 120.2394351262852, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",153.0,6''15
60,9223370338061347791,run from keep,7418.274081001082,00:52:08,00:52:09,Run,2023-10-31 22:11:39,2023-11-01 06:11:39,"{'latitude': 30.31845518898524, 'longitude': 120.2392628947507, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",148.0,7''1
59,9223370337974824469,run from keep,8364.761716024534,00:56:20,00:56:21,Run,2023-11-01 22:09:30,2023-11-02 06:09:30,"{'latitude': 30.318461841269688, 'longitude': 120.23946365528762, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",168.0,6''44
58,9223370337799879013,run from keep,10257.949313929075,01:11:57,01:11:58,Run,2023-11-03 22:29:38,2023-11-04 06:29:38,"{'latitude': 30.319266253842247, 'longitude': 120.23947144175489, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",153.0,7''0
57,9223370337667506208,run from keep,538.3496362004581,00:05:55,00:05:57,Run,2023-11-05 12:21:52,2023-11-05 20:21:52,"{'latitude': 30.322837821445628, 'longitude': 120.23956058985598, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",93.0,10''59
56,9223370337630234352,run from keep,3967.707455200143,00:25:58,00:25:59,Run,2023-11-05 22:23:02,2023-11-06 06:23:02,"{'latitude': 30.318831840508164, 'longitude': 120.23684651843561, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",155.0,6''32
55,9223370337084128785,run from keep,3110.340393285267,00:20:56,00:31:23,Run,2023-11-12 05:59:24,2023-11-12 13:59:24,"{'latitude': 30.313185676596984, 'longitude': 120.21754337468667, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",130.0,6''43
54,9223370336193971479,run from keep,5238.149696792307,00:37:48,00:37:49,Run,2023-11-22 13:08:55,2023-11-22 21:08:55,"{'latitude': 30.31840118049338, 'longitude': 120.23915021374097, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",138.0,7''12
53,9223370335899874385,run from keep,5372.093814417267,00:33:10,00:33:11,Run,2023-11-25 22:55:10,2023-11-26 06:55:10,"{'latitude': 30.318566868011818, 'longitude': 120.23949730461713, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",170.0,6''10
52,9223370335814405003,run from keep,8308.860419435656,00:53:54,00:53:54,Run,2023-11-26 22:18:56,2023-11-27 06:18:56,"{'latitude': 30.318475953218, 'longitude': 120.23946879631157, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",161.0,6''29
51,9223370335641526598,run from keep,10193.695537200058,01:03:39,01:03:40,Run,2023-11-28 22:10:29,2023-11-29 06:10:29,"{'latitude': 30.318499287707297, 'longitude': 120.23938818693263, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",163.0,6''14
50,9223370335552754898,run from keep,327.57010796375096,00:02:24,00:02:24,Run,2023-11-29 23:51:16,2023-11-30 07:51:16,"{'latitude': 30.30659835716559, 'longitude': 120.25200248580077, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",162.0,7''19
49,9223370335509224766,run from keep,2506.8195721605384,00:15:25,00:15:51,Run,2023-11-30 11:43:20,2023-11-30 19:43:20,"{'latitude': 30.3181390828335, 'longitude': 120.23964450250669, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",150.0,6''8
48,9223370335468731219,run from keep,10167.007665351965,00:59:44,00:59:44,Run,2023-11-30 22:14:20,2023-12-01 06:14:20,"{'latitude': 30.319652369813742, 'longitude': 120.23951444774791, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",175.0,5''52
47,9223370335382045323,run from keep,6047.428475091608,00:42:35,00:57:26,Run,2023-12-01 22:21:24,2023-12-02 06:21:24,"{'latitude': 30.24564044175817, 'longitude': 120.18050584504523, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",134.0,7''2
46,9223370335270408061,run from keep,10222.601664156698,00:58:07,00:58:08,Run,2023-12-03 05:21:19,2023-12-03 13:21:19,"{'latitude': 30.246735453287478, 'longitude': 120.18277222366628, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",173.0,5''41
45,9223370335195506692,run from keep,10043.44649825804,00:55:50,00:55:51,Run,2023-12-04 02:11:58,2023-12-04 10:11:58,"{'latitude': 30.246710889229437, 'longitude': 120.18268914967503, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",174.0,5''33
44,9223370335123314706,run from keep,8419.324329156108,00:54:36,00:54:37,Run,2023-12-04 22:16:24,2023-12-05 06:16:24,"{'latitude': 30.318472125659348, 'longitude': 120.23923661616527, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",159.0,6''29
43,9223370335036284649,run from keep,10267.419455809519,01:03:27,01:03:28,Run,2023-12-05 22:18:03,2023-12-06 06:18:03,"{'latitude': 30.318442294178038, 'longitude': 120.23902060398213, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",164.0,6''10
42,9223370334950069453,run from keep,12302.691664114594,01:14:32,01:14:34,Run,2023-12-06 22:03:52,2023-12-07 06:03:52,"{'latitude': 30.31948774303813, 'longitude': 120.2395138169781, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",161.0,6''3
41,9223370334864264531,run from keep,12136.106330082752,01:14:47,01:14:49,Run,2023-12-07 21:53:42,2023-12-08 05:53:42,"{'latitude': 30.31946364461864, 'longitude': 120.23955528698629, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",164.0,6''9
40,9223370334812185821,run from keep,5408.099863275385,00:32:18,00:32:18,Run,2023-12-08 13:04:11,2023-12-08 21:04:11,"{'latitude': 30.318406053013465, 'longitude': 120.23920443237671, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",154.0,5''58
39,9223370334774029479,run from keep,12182.637739081312,01:21:15,01:21:16,Run,2023-12-08 22:51:10,2023-12-09 06:51:10,"{'latitude': 30.319481657911666, 'longitude': 120.23945760783421, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",158.0,6''40
38,9223370334521891807,run from keep,2783.59,00:15:52,00:15:52,Run,2023-12-11 21:58:52,2023-12-12 05:58:52,"{'latitude': 30.31799, 'longitude': 120.239389, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",140.0,5''42
37,9223370334431632807,run from keep,12731.84,01:12:51,01:12:51,Run,2023-12-12 22:06:12,2023-12-13 06:06:12,"{'latitude': 30.319194, 'longitude': 120.239463, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",162.0,5''43
36,9223370334345495807,run from keep,11019.73,01:01:37,01:03:03,Run,2023-12-13 22:11:37,2023-12-14 06:11:37,"{'latitude': 30.319247, 'longitude': 120.239425, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",174.0,5''35
35,9223370334259418807,run from keep,12522.76,01:09:29,01:09:29,Run,2023-12-14 21:59:48,2023-12-15 05:59:48,"{'latitude': 30.319138, 'longitude': 120.239493, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",174.0,5''32
34,9223370334167226807,run from keep,22018.34,01:57:07,01:57:07,Run,2023-12-15 22:48:42,2023-12-16 06:48:42,"{'latitude': 30.319259, 'longitude': 120.239552, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",163.0,5''19
